secid,permno,Ticker,Name
128051,91524,'GHS','GATEHOUSE MEDIA INC'
128054,91491,'ACHN','ACHILLION PHARMACEUTICALS INC'
128055,91517,'ALC','ASSISTED LIVING CONCEPTS INC NEW'
128059,92773,'PRIM','PRIMORIS SERVICES CORP'
128068,92254,'PZG','PARAMOUNT GOLD & SILVER CORP'
128083,91612,'GSAT','GLOBALSTAR INC'
128084,91614,'IPHS','INNOPHOS HOLDINGS INC'
128090,91618,'ORBC','ORBCOMM INC'
128092,91576,'IAR','IDEARC INC'
128126,91606,'CPRX','CATALYST PHARMACEUTICALS INC'
128135,91578,'KBW','K B W INC'
128140,91603,'AFSI','AMTRUST FINANCIAL SERVICES INC'
128142,91605,'CPLA','CAPELLA EDUCATION CO'
128181,91615,'MBLX','METABOLIX INC'
128201,91571,'EBS','EMERGENT BIOSOLUTIONS INC'
128214,91613,'HNSN','HANSEN MEDICAL INC'
128215,91575,'HRI','HERC HOLDINGS INC'
128216,91579,'KBR','K B R INC'
128220,91611,'FSLR','FIRST SOLAR INC'
128224,91583,'NMX','NYMEX HOLDINGS INC'
128229,91598,'VQ','VENOCO INC'
128252,91594,'SPR','SPIRIT AEROSYSTEMS HOLDINGS INC'
128265,91624,'WINN','WINN DIXIE STORES INC'
128273,91619,'RNIN','WIRELESS RONIN TECHNOLOGIES INC'
128509,93290,'PBTH','PROLOR BIOTECH INC'
128515,91616,'NLST','NETLIST INC'
128516,92589,'KNDI','KANDI TECHNOLOGIES GROUP INC'
128534,91639,'MWA','MUELLER WATER PRODUCTS INC'
128551,91659,'ALGT','ALLEGIANT TRAVEL CO'
128553,91667,'HLYS','HEELYS INC'
128567,91670,'KCAP','K C A P FINANCIAL INC'
128574,91666,'GUID','GUIDANCE SOFTWARE INC'
128575,91668,'IPGP','I P G PHOTONICS CORP'
128589,91630,'DVR','CAL DIVE INTERNATIONAL INC DE'
128600,91669,'ISLN','ISILON SYSTEMS INC'
128602,91675,'OMPI','OBAGI MEDICAL PRODUCTS INC'
128604,91650,'SE','SPECTRA ENERGY CORP'
128607,91657,'AFFY','AFFYMAX INC'
128608,91658,'AIMC','ALTRA INDUSTRIAL MOTION CORP'
128610,91678,'TAST','CARROLS RESTAURANT GROUP INC'
128615,91662,'DBTK','DOUBLE TAKE SOFTWARE INC'
128621,91680,'USBE','U S BIOENERGY CORP'
128633,91742,'SNOA','SONOMA PHARMACEUTICALS INC'
128647,92252,'CUR','NEURALSTEM INC'
128655,91627,'ADK','ADCARE HEALTH SYSTEMS INC'
128670,91665,'GLDD','GREAT LAKES DREDGE & DOCK CORP'
128672,92449,'REED','REEDS INC'
128673,12088,'PSTB','PARK STERLING BANK NEW'
128681,91729,'ZN','ZION OIL & GAS INC'
128744,14548,'PFIE','PROFIRE ENERGY INC'
128763,91733,'AVAV','AEROVIRONMENT INC'
128784,91743,'ORIT','ORITANI FINANCIAL CORP NEW'
128819,91690,'GLG','G L G PARTNERS INC'
128821,91727,'TA','TRAVELCENTERS AMERICA LLC'
128830,91688,'EIG','EMPLOYERS HOLDINGS INC'
128831,91692,'HF','H F F INC'
128905,91801,'CORR','CORENERGY INFRASTRUCTURE TR INC'
128914,91815,'CENTA','CENTRAL GARDEN & PET CO'
128915,91832,'MDGL','MADRIGAL PHARMACEUTICALS INC'
128926,91814,'ARAY','ACCURAY INC DE'
128927,92459,'CGRB','COUGAR BIOTECHNOLOGY INC'
128929,91822,'NCMI','NATIONAL CINEMEDIA INC'
128930,91824,'OPTR','OPTIMER PHARMACEUTICALS INC'
128931,91830,'SDXC','SWITCH & DATA FACILITIES CO INC'
128935,91750,'FIG','FORTRESS INVESTMENT GROUP L L C'
128952,91825,'OPXT','OPNEXT INC'
129051,91891,'CCIX','COLEMAN CABLE INC'
129054,91883,'TWC','TIME WARNER CABLE INC'
129070,91854,'UFS','DOMTAR CORP'
129074,91892,'CLWR','CLEARWIRE CORP NEW'
129106,91899,'FIRE','SOURCEFIRE INC'
129122,93177,'ONP','ORIENT PAPER INC'
129136,91889,'BBND','BIGBAND NETWORKS INC'
129137,14137,'REI','RING ENERGY INC'
129143,91898,'FCSX','FCSTONE GROUP INC'
129153,91902,'HAYN','HAYNES INTERNATIONAL INC'
129172,91849,'BR','BROADRIDGE FINANCIAL SOLUTNS INC'
129174,91900,'GLUU','GLU MOBILE INC'
129176,92456,'ATHX','ATHERSYS INC'
129201,91888,'ARUN','ARUBA NETWORKS INC'
129213,91901,'GSIT','G S I TECHNOLOGY INC'
129217,91907,'SMCI','SUPER MICRO COMPUTER INC'
129345,91957,'COMV','COMVERGE INC'
129365,91966,'PNNT','PENNANTPARK INVESTMENT CORP'
129377,92875,'HEAT','SMARTHEAT INC'
129385,91968,'TFSL','TFS FINANCIAL CORP'
129386,91915,'CNK','CINEMARK HOLDINGS INC'
129401,91971,'VRUS','PHARMASSET INC'
129410,91926,'DAL','DELTA AIR LINES INC'
129414,91965,'OREX','OREXIGEN THERAPEUTICS INC'
129430,92034,'CAVM','CAVIUM INC'
129490,92043,'IBKR','INTERACTIVE BROKERS GROUP INC'
129502,92053,'TOMO','TOMOTHERAPY INC'
129504,91975,'ACM','A E C O M'
129505,91976,'ANV','ALLIED NEVADA GOLD CORP'
129532,92032,'ALBO','ALBIREO PHARMA INC'
129536,92021,'SLH','SOLERA HOLDINGS INC'
129553,91983,'CLR','CONTINENTAL RESOURCES INC'
129555,92050,'PODD','INSULET CORP'
129558,92020,'GEN','GENESIS HEALTHCARE INC'
129562,91979,'CAI','C A I INTERNATIONAL INC'
129568,92982,'DEER','DEER CONSUMER PRODUCTS INC'
129573,92052,'TTGT','TECHTARGET INC'
129574,92038,'ENOC','ENERNOC INC'
129575,92029,'TRS','TRIMAS CORP'
129578,92013,'NWA','NORTHWEST AIRLINES CORP'
129582,91977,'BGS','B & G FOODS INC NEW'
129587,92018,'RRR','R S C HOLDINGS INC'
129588,92055,'SIRT','SIRTRIS PHARMACEUTICALS INC'
129596,92035,'CLNE','CLEAN ENERGY FUELS CORP'
129629,92040,'FOLD','AMICUS THERAPEUTICS INC'
129630,93136,'ICLK','INTERCLICK INC'
129665,92104,'STAR','STARENT NETWORKS CORP'
129677,92095,'INFN','INFINERA CORP'
129683,92093,'FBRC','F B R & CO'
129685,92097,'LLNW','LIMELIGHT NETWORKS INC'
129714,92089,'GRBK','GREEN BRICK PARTNERS INC'
129716,92121,'DFS','DISCOVER FINANCIAL SERVICES'
129775,92087,'AUTH','AUTHENTEC INC'
129777,92090,'BKCC','BLACKROCK CAPITAL INVT CORP'
129781,92102,'SCOR','COMSCORE INC'
129783,92092,'DDUP','DATA DOMAIN INC'
129794,92105,'BZ','BOISE INC'
129797,14133,'NNVC','NANOVIRICIDES INC'
129798,92132,'PPO','POLYPORE INTERNATIONAL INC'
129799,92143,'PRO','P R O S HOLDINGS INC'
129801,92207,'SHOR','SHORETEL INC'
133530,92195,'BNCL','BENEFICIAL BANCORP INC'
133870,92188,'WBC','WABCO HOLDINGS INC'
133873,92172,'DHX','D H I GROUP INC'
133877,92184,'PMC','PHARMERICA CORP'
133883,92192,'AIRV','AIRVANA INC'
133884,92177,'HGG','HHGREGG INC'
133887,92183,'OWW','ORBITZ WORLDWIDE INC'
133889,93149,'ZAGG','ZAGG INC'
133894,92805,'TPI','TIANYIN PHARMACEUTICAL CO INC'
133903,92194,'BLOG','BLADELOGIC INC'
133906,92210,'TYPE','MONOTYPE IMAGING HOLDINGS INC'
133907,92205,'REXX','REX ENERGY CORP'
133928,92203,'LULU','LULULEMON ATHLETICA INC'
133954,92243,'DM','DOLAN CO'
133959,92226,'SCMP','SUCAMPO PHARMACEUTICALS INV'
133962,92239,'CXO','CONCHO RESOURCES INC'
133977,92229,'VRTU','VIRTUSA CORP'
133986,93004,'CPIX','CUMBERLAND PHARMACEUTICALS INC'
133989,92220,'MASI','MASIMO CORP'
133998,92214,'DMAN','DEMANDTEC INC'
134000,93048,'YONG','YONGYE INTERNATIONAL INC'
134007,92232,'ZINC','HORSEHEAD HOLDING CORP'
134008,92221,'MELI','MERCADOLIBRE INC'
134015,13878,'MDXG','MIMEDX GROUP INC'
134020,92257,'VMW','VMWARE INC'
134038,92245,'AROC','ARCHROCK INC'
134203,93130,'CXDC','CHINA X D PLASTICS CO LTD'
134207,92293,'TDC','TERADATA CORP DE'
134243,92296,'ATHN','ATHENAHEALTH INC'
134296,92265,'CCGM','CHINA CGAME INC'
134298,92897,'CGA','CHINA GREEN AGRICULTURE INC'
134299,92268,'DUF','DUFF & PHELPS CORP NEW'
134391,92302,'CTCT','CONSTANT CONTACT INC'
134456,92310,'MAPP','M A P PHARMACEUTICALS INC'
134559,92303,'FFNW','FIRST FINANCIAL NORTHWEST INC'
